index,account,page,postdate,tweet,link,comments,retweets,likes,views,replysource
34,"Diskusi dan Sharing Seputar Bayi","","unknown","Anak aku 1 tahun, suntik campak itu dibagian mana ya bun apakah dobell juga??, soalnya anakku besok suntik campak pertama kali","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
35,"Diskusi dan Sharing Seputar Bayi","","unknown","Buun apa biasanya dampak dri imunisasi campak 9 bulan ya...apa demam .bengkak bekas suntikan kayak dpt juga ya...ank bunda gmn yg sdh inunisasi campak? Soalnya cemas anaku klu imunisasi demam trus dn ini baru mo imunisasi canpak..","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
36,"Diskusi dan Sharing Seputar Bayi","","unknown","Mau tanya disini ada ga yg anaknya imunisasi campak tp lbh dari 9 bulan? Kbtulan anakku rencana mw imunisasi campak tp usianya udh mw 1 thun, knp ga pas 9 bulan krna dpt 3 aja bru slesai usia 9 bln, bnyak telat soalnya sering bapil, trus ayahnya kurang setuju imunisasi krna anak jd super rewel smpe berhari hari  pdhl anak pertama full imunisasi aman tp yg kdua ini hm sekali","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
37,"Diskusi dan Sharing Seputar Bayi","","unknown","Yang anak nya pernah ngalamin campak?anak ku usia 6tahun lagi terkena campakk hari ini ruam merahnya udh muncul,panas,batuk,mata merah,udh berobat,udh beli obat juga diapotiik, Alhamdulillah panasnya udh mulai turun,tapi matanya masih merah+batuk,apa kah nnti sembuh sendiri?apa boleh dipake salep mata ya?bantu jawab ya bunda²","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
38,"Diskusi dan Sharing Seputar Bayi","","unknown","Kenapa banyak yg tertawa dan seperti gk terima sama cerita yg sedang saya alami,apa salahnya saya bercerita tentang imunisasi,ankku yg pertama no imunisasi,dan anak ke dua imunisasi lengkap dan sudah imunisasi campak,dan aku cerita kalau ankku kena campaknya malah parah, kebanyakan org bilang yg imunisasi bakal ringan dan gk separah yg di alami anak yg tidak imunisasi, justru di antara ankku yg 2 ini,malah ank yg full imunisasi yg kena campak, sedangkan kknya tidak knp2,aku tau imun anak berbeda,tp tolong jangan tertawa,ankku mungkin tertular sama anak adikku,tp ank adikku gk parah padahal anknya gk imunisasi,Tolong do'akan ank ku yh bunda2,smg lekas membaik dan cepet pulang dari RS  Lihat Lebih Sedikit Kenapa banyak yg tertawa dan seperti gk terima sama cerita yg sedang saya alami,apa salahnya saya bercerita tentang imunisasi,ankku yg pertama no imunisasi,dan anak ke dua imunisasi lengkap dan sudah imunisasi campak,dan aku cerita kalau ankku kena campaknya malah parah, kebanyakan org bilang yg imunisasi bakal ringan dan gk separah yg di alami anak yg tidak imunisasi, justru di antara ankku yg 2 ini,malah ank yg full imunisasi yg kena campak, sedangkan kknya tidak knp2,aku tau imun anak berbeda,tp tolong jangan tertawa,ankku mungkin tertular sama anak adikku,tp ank adikku gk parah padahal anknya gk imunisasi, Tolong do'akan ank ku yh bunda2,smg lekas membaik dan cepet pulang dari RS  Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
39,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun bagi pengalamannya yang anaknya udah imunisasi dpt lanjutan + campak mr gimana? Demam nggak? Buat yang imunisasinya di posyandu ya","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
40,"Diskusi dan Sharing Seputar Bayi","","unknown","bund....... yg kena broncopnemonia bakal sembuh ga sih ko aku setiap hari d hantui rasa takut trus sampai kalo tdur anakku aku liatin nafas dia sampai bngun lagi, denger suara token listrik hbis serem berasa d RS karna anakku kemaren masuk picu kena campak denger suara grok grok aku takut ku kira nafas anakku ternyata mejikom ku air nya lagi mendidih karna aku lagi masak nasi setiap malam aku mimpi selalu berada d RS pas bangun ternyata aku tdur d rumah aku takut anxiety ku kambuh Bun rasanya hari hariku ga seperti dulu Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
41,"Diskusi dan Sharing Seputar Bayi","","unknown","bund, kalo bayi d bawah 9bln bisa trkena campak ga ya? karna kan d bawah 9 bln itu belum vksin campak?!!bund, kalo bayi d bawah 9bln bisa trkena campak ga ya? karna kan d bawah 9 bln itu belum vksin campak?!!","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
42,"Diskusi dan Sharing Seputar Bayi","","unknown","Perbedaan Campak dan Rubella…","https://www.facebook.com/groups/759878459543655/",2,0,0,-1,"NaN"
43,"Diskusi dan Sharing Seputar Bayi","","unknown","Mau tanya bun anakku telat imunisasi.. skrg 11 bln blm imunisasi campak ,apakah bisa menyusul bun?","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
44,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun mau nanya anak usia 7bulan udh gejala terkena campak obatnya apa ya,tadi brobat dibidan dikasih obat bubuk,sama Paracetamol sirup?ini baru gejala Bun ruam merah nya belum muncul?","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
45,"Diskusi dan Sharing Seputar Bayi","","unknown","Bun cara menyembuhkan campak gimana biar cpt adem","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
46,"Diskusi dan Sharing Seputar Bayi","","unknown","Bagi pengalamannya bund... Suntik campak itu bgian mana?? Dan efeknya gimna??Bagi pengalamannya bund... Suntik campak itu bgian mana?? Dan efeknya gimna??","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
