index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
55,Juragann_muda2,2025-05-26T00:44:30.000Z,"ayolah Doc jangan kek gini, nanti yang gak mau vaksin tambah banyak, campak aja di jawa barat masih tinggi, mau sampe kapan kasih info sesat sampe komunitas di negara ini akhirnya berkutat terus dengan penyakit yang sebenernya sudah ada vaksinnya. dan di negara lain hampir punah.",https://x.com/Juragann_muda2/status/1926801583259419046,0,0,0,9,NaN
56,adnanm_akbar,2025-05-24T10:40:51.000Z,"Vaksin lindungi anak dari penyakit berbahaya seperti polio, campak, dan COVID-19.  AXA Mandiri #axamandiri #AmanTerlindungi AXA_Mandiri @AXA_Mandiri",https://x.com/adnanm_akbar/status/1926226882577543262,0,0,0,38,NaN
57,sxxbinc,2025-05-16T09:05:31.000Z,"Sampe bbnya naiknya cimit2, bahkan turun (lagi), alhamdulillah skg udh mau makan lagi naiknya juga pelan2, gapapa yg penting ga stuck.  Kemarin pas abis vaksin JE juga malah sakit, ketularan temennya campak-,-",https://x.com/sxxbinc/status/1923303791861825728,0,0,0,126,NaN
58,anckermine,2025-05-15T09:14:27.000Z,"Menkes buka suara soal vaksin campak, tapi bisik-bisik publik makin nyaring: jangan-jangan vaksin COVID 2019 mau diulang? Bijaks atau bisnis?  https://vt.tiktok.com/ZSh9rM9mf/  #bijaksnews #vaksin #covid19 #menkes #TheFirstfruit_LIVEinNAGOYA #PondxVersaceFragrancesMY #MARKと初の実の旅",https://x.com/anckermine/status/1922943650226421910,0,0,0,60,NaN
59,lautraneira,2025-05-15T08:48:02.000Z,"Menkes bicara soal campak, tapi yang terasa justru bayang-bayang vaksinasi massal. Bijaks? Atau kembali ke pola lama: takut, paksa, tutup mulut?  https://vt.tiktok.com/ZSh9rM9mf/  #bijaksnews #vaksin #covid19 #menkes #campak #timeskop #telkomsel #ketumpdip  #MyGoldenBloodEP10",https://x.com/lautraneira/status/1922937001398952414,0,0,0,60,NaN
60,Sukab63,2025-05-14T13:31:27.000Z,"Dingin sperti sikapnya. Apa karena gak vaksin campak ya jadinya dicampakkan",https://x.com/Sukab63/status/1922645937421156457,0,0,0,51,NaN
61,BloombergTZ,2025-05-14T00:07:09.000Z,"Menkes: Campak di AS karena tak Percaya Vaksin, Wanti-wanti RI",https://x.com/BloombergTZ/status/1922443531211231647,0,0,0,92,NaN
62,Baguscar,2025-05-13T20:48:19.000Z,"Gak menolak vaksin yang bermanfaat spt vaksin polio campak dst .. but terima vaksin dan utk uji coba ke rakyat ???   Hellooo kami tidak bodoh pak ...  silahkan berikan saja ke 58ners dan buzzerRp vaksin uji coba ini ...",https://x.com/Baguscar/status/1922393491855888808,0,0,0,31,NaN
63,jiw_han,2025-05-13T12:06:01.000Z,"Dlm sejarah manusia beberapa kali terancam kepunahan krn wabah penyakit, contoh flu Spanyol, campak, cacar, covid dll. Dan vaksin adl penyelamatnya. Masa iya sih wabah penyakit dihadapi dg bekam, rukyah, air suci ?? Kita hrsnya menghargai usaha pd Bill Gates.",https://x.com/jiw_han/status/1922262049255555350,0,0,0,108,NaN
64,hanan052020,2025-05-12T07:11:58.000Z,"Vaksin MR : campak-rubella (Measles-Rubella).. tdk ada gondongan divaksinnya",https://x.com/hanan052020/status/1921825662832111636,0,0,0,104,NaN
65,jiw_han,2025-05-11T14:44:34.000Z,"Sudah pasti lbh percaya pd vaksin. Dlm sejarah manusia vaksin berjasa menghentikan kepunahan manusia akibat wabah.  Ingat flu Spanyol, cacar, campak dll. Masa iya wabah akibat virus akan dilawan dg bekam, madu, atau rukyah? Pengobatan nabi gitu?",https://x.com/jiw_han/status/1921577175725060279,0,0,0,42,NaN
66,yourpadawann,2025-05-10T11:14:47.000Z,"Ini harga vaksin campak ama dpt lanjutan manyep juga ye, gapapa lah demi anak wkwkw",https://x.com/yourpadawann/status/1921161995044127199,0,0,0,49,NaN
67,Blue_Shoe_Cant,2025-05-09T12:46:39.000Z,"Kasih vaksin CAMPAK aja.. Lho kok??  Iya CAMPAK kan ke sampah..",https://x.com/Blue_Shoe_Cant/status/1920822724483592557,0,0,0,9,NaN
68,WiniYlita,2025-05-09T12:09:13.000Z,"Vaksin campak aja pada gak mau",https://x.com/WiniYlita/status/1920813302835192136,0,0,0,24,NaN
69,rahmat3prawira,2025-06-23T23:24:10.000Z,"Contoh mengapa misinformasi & gerakan anti-vaksin itu sangat berbahaya bagi kesehatan masyarakat secara luas.  Karena di Texas para orang tua  menolak untuk memberikan vaksin pada anaknya, sekarang muncul kenaikan kasus penyakit campak di daerah tersebut",https://x.com/rahmat3prawira/status/1937290615483695556,0,0,0,230,NaN
70,yodseo,2025-06-23T12:01:45.000Z,"Nne sudah ak vaksin pagi td diantar papi, tadi pagi list vaksin yg aku jalani adalah sbb : Vaksin siput gila dan Vaksin campak (supaya gak di campakin)",https://x.com/yodseo/status/1937118880260030928,0,0,0,34,NaN
