index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1397,mulkanjabariyan,2025-01-09T12:34:09.000Z,Subhanallah....darah yg terkontaminasi moderna dan Astra jenaka,https://x.com/mulkanjabariyan/status/1877333036917780634,50,342,615,140700,https://x.com/mulkanjabariyan/status/1877979223677374830,0.086289495,,True,True,True,False
1398,Ikhsan57785798,2025-01-11T06:56:17.000Z,Kenapa video ini baru tersebar sekarang? Mestinya saat covid dan saat rakyat dipaksa vaksin.,https://x.com/Ikhsan57785798/status/1877972784971763757,1,0,1,194,https://x.com/mulkanjabariyan/status/1877979223677374830,0.12014738,,True,False,False,True
1399,mindlipstick,2025-01-11T02:12:20.000Z,Itu mah dia cuci tangan. Baik Marc & Biden itu mrk sm² Bajingan. Waktu bersekutu mrk slg dukung & menutupi aib msg². Sekarang mrk cakar²an.,https://x.com/mindlipstick/status/1877901327751156103,0,0,5,311,https://x.com/pureblood_4ever/status/1877882297774710940,-0.045843393,,True,True,False,True
1400,bowo_unicon,2025-01-11T04:43:41.000Z,"Akan banyak pengungkapan kebenaran alam semesta, yg selama ini sembunyikan..UFO, DEW, Free Energy, Med Bed, dll",https://x.com/bowo_unicon/status/1877939413684236535,0,1,5,375,https://x.com/pureblood_4ever/status/1877882297774710940,0.01022239,,True,True,True,False
1401,wannafigh,2025-01-11T03:02:56.000Z,"Yahudi emang culas dan licik. Padahal dia yang implementasi sensor itu dulu pas pihak woke left lagi di atas angin 2020 dulu  Skrng pihak ""sayap kanan"" sudah naik daun dan antisemitisme meningkat drastis, dia ""switch sides"" begitu saja ke pihak yg lagi naik daun",https://x.com/wannafigh/status/1877914059623797030,0,0,3,318,https://x.com/pureblood_4ever/status/1877882297774710940,-0.036271676,,True,True,False,True
1402,achmad_buzrizal,2025-01-11T15:26:36.000Z,Kelakuan mereka sama aja semuanya.,https://x.com/achmad_buzrizal/status/1878101207824421361,0,0,2,165,https://x.com/pureblood_4ever/status/1877882297774710940,-0.0077846944,,True,True,True,False
1403,Theroadinpursue,2025-01-11T22:50:21.000Z,Mark Suckerberg,https://x.com/Theroadinpursue/status/1878212882485379245,0,0,0,115,https://x.com/pureblood_4ever/status/1877882297774710940,-0.013641074,,False,True,False,False
1404,Renz0073,2025-01-11T10:10:07.000Z,Here we go,https://x.com/Renz0073/status/1878021562735161812,0,0,0,252,https://x.com/pureblood_4ever/status/1877882297774710940,0.0044885427,,True,True,True,False
1405,DokterTifa,2025-01-07T13:16:28.000Z,"Postingan ini kelanjutan dari postingan sebelumnya. Silakan baca lengkap agar dapat benang merahnya.  Ketika Dr Terawan memperjuangkan VAKSIN NUSANTARA,  bukan saja tidak didukung oleh Presiden, bahkan beliau dipecat dari jabatannya sebagai Menkes.  Dalam beberapa kali dengar",https://x.com/DokterTifa/status/1876618910738612477,121,683,1803,102600,https://x.com/ArgubiSaki8524/status/1876629615307010479,0.058879554,,True,True,True,False
1406,hendrabudi66517,2025-01-07T14:16:40.000Z,Memang vaksin itu adalah racun,https://x.com/hendrabudi66517/status/1876634059486740896,1,0,0,25,https://x.com/ArgubiSaki8524/status/1876629615307010479,0.051855892,,True,True,True,False
